abong,map
Adon,sem 
Adoni,he
adumbara,sa
afu,mek
aina,kqi
aingeal,gd
Akitsu Kami,ja
alusa,zu
amacebo,zu
amakwata,zu
ambadina,wgb
amboa,mg
amen Mulegona,map
andrian,skg
angakok,ik
ântétsi,skg
Apamârgam,ta
arre,om
arrivou,skg
aru aculei,bvb
asherah,he
asherim,he
Ashtakshara,sa
Asvattha,sa
atua,mi
ayusa,zu
Baal,sem 
Bacsis,zh
bandaru,yia
banehoos,nrn
barrim barrim,x-unk-vic
bassa kapor,jak
bensa,bnt
bensa,kg
berroe ni kapoer,btk
béisd mhaol,gd
beteku,map
bintang,map
biodag,gd
Bodia,grb
Bodio,dmn
Boenlöper,nds
bog,gd
bolobolo,mxk
buanhoos,nrn
bukuru,bzd
bulan,map
caladi,map
Chahatti,sa
chegilla,kg
chepkeswet,kln
cheweh,x-unk-mal
chichurkna,aer
chliob,gd
chiwilili,yao
chovas,x-tonk-unk
çial,x-unk-sun
clach,gd
claddach,gd
clavie,sco
Cocccaio,it
comare,it
creg,gd
creuy,gd
croman,gd
cruaidh,gd
culula,om
da auld chield,nrn
da black tief,nrn
da ill-healt,nrn
da sorrow,nrn
Dairi,ja
dalu 'mun,map
Dañh-gbi,ee
Dañh-sio,ee
darbha,sa
das Gewürm,de
Dâsî,dra
dasturi,x-unk-cau
desia,x-unk-car
desika,x-unk-car
deva-dasis,ta
Dêvadâsî,dra
Dêvaratiâl,dra
dinger,de
Dîpâradhana,ta
dom,km
dovas,x-tonk-unk
duong,km
eld,sv
ell,sv
embigatdu,zu
enanai,mas
enhlela,zu
epolpol,mas
Erme,it
Etissû,mus
Euphorbia antiquorum,la
fàdy,mg
failu,yap
famovo,mg
fandroaka,mg
fetia,ty
fetu,ty
fiketrehane,mg
fiounrâma,skg
Fitaure,srr
fitting,nrn
fiz,x-gyp-unk
foodin,nrn
fòtaka,mg
Fuchs,de
gadjah,ace
gaharu,x-unk-men
gaire,gd
gala,bnt
Gangas,kg
ghennabura,x-unk-man
ghiar,gd
gídan,x-unk-nin
gîrâ,sa
Girang-Pu-un,bac
Gîtagôvinda,sa
Go alafsha dintèè,tn
Goigote,si
Goigote,si
gorja,x-gyp-unk
gort,gd
Gros Ventres,fr
gudate,om
hantu gaharu,x-unk-men
hara,om
haydeen,nrn
helaga,meu
Henabou,de
Henading,de
Henoloinl,de
hetta,sv
hoetan,btk
hōmam,ta
How,to
idems,efi
impaka,bnt
impando,zu
inkosta,zu
inua,ypk
inua,ik
inyatugo,zu
isaga,x-unk-bah
ivi poro,x-wani-unk
Jabmek,smi
janwar,x-unk-nin
jigariya,dra
jinn,ar
ka,egy
kadishtu,aak
kagesa,zu
kana lama,fj
karon fenna,map
kawalo,map
kedesha,he
ḳedeshim,aak
Ḳedeshim,he
ḳedeshoth,aak
Ḳedeshoth,he
Kelahs,kar
kerrengettetdoeng,btk
khaddi,kru
Khü-seu,zh
khuan,th
kichunchu,x-unk-bah
kirser,nrn
knal-oyne,x-unk-vic
"koer, koer, semangat ",day
kono,ee
kosi,ee
kosio,ee
kotahikio,ki
krian,map
Kúmbarti,ta
kwun,th
labrys,xld
lag,sv
laka,skg
langa,bnt
lara bagus,x-unk-jav
Leleen,map
lèna,mg
leungka,ace
lheuëh,ace
liber,x-gingiro
lignum aloes,la
lisoka,yao
loccio,om
Loinl,de
loñget,kln
löu,sv
lukut,kar
madadh ruadh,gd
mahenika,mg
Makoko,kg
malmalagaviga,map
mamba,mg
màmba,mg
Mambo,lu
man-teitei,pon
manapaka,skg
mantrams,ta
manu langi,sm
manuungkuurt,x-unk-vic
manzi,zu
màre,skg
Marm-bu-la,x-aus-unk
màry,skg
masoandro,mg
masoka,yao
massanga,bnt
massebah,he
masseboth,he
mata,zu
matoué,skg
may,mg
mbendoula,nso
Mefite,it
Mefitinelle,it
mejnûn,ar
Melech,he
Mikado,ja
misòtro ràno,mg
moduma,x-pyg-unk
moelija,btk
mondas,x-ash-unk
motsimo,sn
Moylar,mr
mpologoma,x-unk-bah
Muata,bnt
Muata Jamwo,bnt
Muata Jamwo,lun
mue miha,map
muli,map
murghi,x-unk-man
Murli,mr
murup,wyi
Mutata,lu 
mutatis mutandis,la
mwele,bxg
mwenda,x-unk-bah
Na nduka ni,fj
Nága,kn
nalla pambu,dra
nalla tambirani,dra
Nalunku,ta
narrapart,x-unk-vic
nats,x-burm-unk
nattam ure,xgd
ndalo,fj
ndui,x-unk-ken
Nenneri,it
Ngai,ki
ngana,bnt
ngoma,bnt
nïm,te
njara,map
noa,mi
nossi,skg
nu-na hlukh-tuk,ik
nxabo,zu
nyangale,nso
nyi-sese,fon
o lapsiek,sua
oewe,map
Ogom,tod
Ogom,tod
Olori,yo
omuvia,hz
ong,vi 
opu,mek
outoni,hz
ovē,pdu
owai,map
padiruma tondi,btk
pakat,map
pakat abong,map
pakeha,mi
pakeha,mi
palim,map
palol,tcx
Panaghia Aphroditessa,el
Panchâkshara,sa
pantang kapur,jak
pariama,map
paternoster,la
Pecheray,x-fue-unk
penala,map
Peritius,la
pet-chi-é-ri,kyh
phi,x-thai-unk
phong long,ngo
pitssēte,ik
puik,x-unk-car
plehiding,pdu
pò meurah,ace
pombe,irh
Pons Sublicius,la
prestingolva,nrn
puithar m'athar,gd
puithar mo sheanamhair,gd
pulque,nah
purugu,te
radja pomali,tet
ramâmu,akk
ramanga,mg
rassi,x-unk-nin
roepia,map
Roko Tui,fj
ròn,gd
room sram,wad
rukwaru,bnt
sabi,x-bng-unk
sal,kru
sasakajan,map
segetet,kln
semangat,ms
senga,skg
sgian,gd
sheri,x-unk-nin
si,ee
sionnach,gd
skunie,nrn
soherina,mg
Srávana,sa
Stanikas,mr
tabak,x-unk-men
tahika,ki
Tâikkizhavi,ta
tâli,ta
tamate gangan,map
taoussi,skg
tapu,mi
tapued,mi
Tatlu-su,tr
teine,gd
tĕndi,btx
tendi,btk
tete,x-unk-ken
tia,ty
tiai,ty
tillit tillitish,x-unk-vic
tilquaitch,nwg
timula,ts
toemba bras,btk
toetsa,skg
tondi,btk
torpool,nwg
Tôtuvaikkuka,ta
tshanti,zu
tso,kar
tu,ty
Tua,map
tuba,map
tui,ty
tullie,nrn
twan-hu,zh
Ukuteta Kwambafazi,bny
umkondo,zu
unno,om
upstanda,nrn
vadokoma,x-unk-car
vah,gd
vàratra,mg
varioû,skg
vatn,sv
vengla,nrn
vilany,mg
visk,gd
vitalba,it
võdu-si,ee
voûssi,skg
waa,x-unk-vic
wai,mi
wanagi,dak
weearn,x-unk-vic
wokiorai,x-bab-unk
womarakaraqat,map
wong bagusu,x-unk-jav
wororu,aus
Wurponum,wkw
yadôma,x-unk-car
"Ye, ye",tog
yila,nso
Yôga,ta
yoni,sa
yu-a,ik
yumbana,hz
zany-dandy,mg
