-pileser,-Pileser
albinoes,albinos
Alfoor,Alfur
Andria-mamba,Andriamamba
Argyleshire,Argyllshire
Asárh,Asarh
Ashantee,Ashanti
Ashtâkshara,Ashtakshara
Ba-Pedi,Bapedi
Ba-pedi,Bapedi
Ba-Thonga,Bathonga
Ba-thonga,Bathonga
Ba-Yaka,Bayaka
Ba-yaka,Bayaka
Baalbec,Baalbek
barbicue,barbecue
Batara-guru,Batara Guru
Ben-hadad,Ben-Hadad
Bengalee,Bengali
Bhâdon,Bhadon
Bhootan, Bhutan
Bolang Mongondo,Bolaang Mongondow
Boobies,Bubes
Brüyas,Bruyas
Bugineese,Buginese
Cadiz,Cádiz
Cazembe,Kazembe
Cetchwayo,Cetshwayo
Cevennes,Cévennes
Chili,Chile
Chiloe,Chiloé
Chiriqui,Chiriquí
Chukchee,Chuckchee
Corea,Korea
Dacota,Dakota
Dassera,Dasehra
Déné,Dene
Goajiro,Guajiro
Goorkha,Gurkha
Haussa,Hausa
Hissar,Hisar
Ifa,Ifá
Indo-China,Indochina
Irawadi,Irrawaddy
Ja-Luo,Jaluo
Jayadêva,Jayadeva
Kamtchatkan,Kamchatkan
Karaits,Karaites
Kru-men,Krumen
Kü-yung,Kuyung
Kuklia,Kouklia
Kupole,Kupolè
Majhwâr,Majhwar
Malatia,Malatya
Malayalies,Malayalis
Massaya,Masaya
Matebele,Matabele
Melcarth,Melkarth
Methusaleh,Methusalah
Michaelangelo,Michelangelo
Mosynoeci,Mossynoeci
Muysca,Muisca
Naga-padoha,Naga Padoha
Nepaul,Nepal
Nyassaland,Nyasaland
Ojebway,Ojibway
Oodeypoor,Udaipur
Payagua,Payaguá
Perigord,Périgord
Punjaub,Punjab
remissable,remissible
Riabba,Riaba
rixdollar,rix-dollar
Sanda-sarme,Sandasarme
Sandu’arri,Sanduarri
Satapatha Brâhmana,Shatapatha Brahmana
Sâwan,Sawan
Sayid,Sayyid
Sikhim,Sikkim
Sizu,Sizzu
Sperchius,Spercheus
Suni,Sunni
Swazieland,Swaziland
Syenite,syenite
Tâif,Taif
Talaga Bodas,Talagabodas
Tinguiane,Tinguian
Tirukkalyânam,Tirukkalyanam
Tonquin,Tonkin
Tooitonga,Tu'i Tonga
Tycoon,Taikun
Waga-waga,Wagawaga
Wakanda,wakanda
Wanyamwesi,Wanyamwezi
Watchandie,Watchandi
Windessi,Windesi
Wirajuri,Wiradjuri
